GAME_ID,OFFICIAL_ID,OFFICIAL_NAME,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON_TYPE,POSTSEASON_STAGE,POSTSEASON_SEASON_TYPE,SPECIAL_SITE
0022100063,202037,J.T. Orr,J.T.,Orr,72,Regular Season,Regular Season,Regular Season,0
0022100063,202053,Scott Twardoski,Scott,Twardoski,52,Regular Season,Regular Season,Regular Season,0
0022100064,2002,Derrick Collins,Derrick,Collins,11,Regular Season,Regular Season,Regular Season,0
0022100064,202027,Tre Maddox,Tre,Maddox,23,Regular Season,Regular Season,Regular Season,0
0022100064,1628159,Mousa Dagher,Mousa,Dagher,28,Regular Season,Regular Season,Regular Season,0
0022100065,1155,JB DeRosa,JB,DeRosa,62,Regular Season,Regular Season,Regular Season,0
0022100065,1199,Tom Washington,Tom,Washington,49,Regular Season,Regular Season,Regular Season,0
0022100065,1627534,Andy Nagy,Andy,Nagy,83,Regular Season,Regular Season,Regular Season,0
0022100066,1204,Derek Richardson,Derek,Richardson,63,Regular Season,Regular Season,Regular Season,0
0022100066,202049,Ben Taylor,Ben,Taylor,46,Regular Season,Regular Season,Regular Season,0
0022100066,202056,CJ Washington,CJ,Washington,12,Regular Season,Regular Season,Regular Season,0
0022100067,2714,David Guthrie,David,Guthrie,16,Regular Season,Regular Season,Regular Season,0
0022100067,203593,Justin Van Duyne,Justin,Van Duyne,64,Regular Season,Regular Season,Regular Season,0
0022100067,1627524,Nate Green,Nate,Green,65,Regular Season,Regular Season,Regular Season,0
0022100068,200832,Curtis Blair,Curtis,Blair,74,Regular Season,Regular Season,Regular Season,0
0022100068,201245,Marat Kogut,Marat,Kogut,32,Regular Season,Regular Season,Regular Season,0
0022100068,203591,Mitchell Ervin,Mitchell,Ervin,27,Regular Season,Regular Season,Regular Season,0
0022100069,1151,Sean Corbin,Sean,Corbin,33,Regular Season,Regular Season,Regular Season,0
0022100069,204059,Tyler Ford,Tyler,Ford,39,Regular Season,Regular Season,Regular Season,0
0022100069,1627961,Brandon Adair,Brandon,Adair,67,Regular Season,Regular Season,Regular Season,0
0022100070,1662,Bill Kennedy,Bill,Kennedy,55,Regular Season,Regular Season,Regular Season,0
0022100070,200833,Eric Dalen,Eric,Dalen,37,Regular Season,Regular Season,Regular Season,0
0022100070,1627964,Jonathan Sterling,Jonathan,Sterling,17,Regular Season,Regular Season,Regular Season,0
0022100071,1148,James Capers,James,Capers,19,Regular Season,Regular Season,Regular Season,0
0022100071,1201,Leon Wood,Leon,Wood,40,Regular Season,Regular Season,Regular Season,0
0022100071,202035,Brett Nansel,Brett,Nansel,44,Regular Season,Regular Season,Regular Season,0
0022100072,2882,Sean Wright,Sean,Wright,4,Regular Season,Regular Season,Regular Season,0
0022100072,203592,Dedric Taylor,Dedric,Taylor,21,Regular Season,Regular Season,Regular Season,0
0022100072,1627963,Phenizee Ransom,Phenizee,Ransom,70,Regular Season,Regular Season,Regular Season,0
0022100073,1146,Tony Brothers,Tony,Brothers,25,Regular Season,Regular Season,Regular Season,0
0022100073,101283,Brian Forte,Brian,Forte,45,Regular Season,Regular Season,Regular Season,0
0022100073,1626302,Aaron Smith,Aaron,Smith,51,Regular Season,Regular Season,Regular Season,0
0022100074,202041,Kevin Scott,Kevin,Scott,24,Regular Season,Regular Season,Regular Season,0
0022100074,202901,Matt Myers,Matt,Myers,43,Regular Season,Regular Season,Regular Season,0
0022100074,203591,Mitchell Ervin,Mitchell,Ervin,27,Regular Season,Regular Season,Regular Season,0
0022100075,1162,Scott Foster,Scott,Foster,48,Regular Season,Regular Season,Regular Season,0
0022100075,1363,Bennie Adams,Bennie,Adams,47,Regular Season,Regular Season,Regular Season,0
0022100075,202037,J.T. Orr,J.T.,Orr,72,Regular Season,Regular Season,Regular Season,0
0022100076,2004,Courtney Kirkland,Courtney,Kirkland,61,Regular Season,Regular Season,Regular Season,0
0022100076,200833,Eric Dalen,Eric,Dalen,37,Regular Season,Regular Season,Regular Season,0
0022100076,1627529,Suyash Mehta,Suyash,Mehta,82,Regular Season,Regular Season,Regular Season,0
0022100077,2715,Eric Lewis,Eric,Lewis,42,Regular Season,Regular Season,Regular Season,0
0022100077,1627541,Natalie Sago,Natalie,Sago,9,Regular Season,Regular Season,Regular Season,0
0022100077,1628951,John Butler,John,Butler,53,Regular Season,Regular Season,Regular Season,0
0022100078,1155,JB DeRosa,JB,DeRosa,62,Regular Season,Regular Season,Regular Season,0
0022100078,2534,Zach Zarba,Zach,Zarba,15,Regular Season,Regular Season,Regular Season,0
0022100078,1627519,John Conley,John,Conley,79,Regular Season,Regular Season,Regular Season,0
0022100079,1830,Marc Davis,Marc,Davis,8,Regular Season,Regular Season,Regular Season,0
0022100079,203177,Lauren Holtkamp,Lauren,Holtkamp,7,Regular Season,Regular Season,Regular Season,0
0022100079,1628171,Brandon Schwab,Brandon,Schwab,86,Regular Season,Regular Season,Regular Season,0
0022100080,200832,Curtis Blair,Curtis,Blair,74,Regular Season,Regular Season,Regular Season,0
0022100080,202056,CJ Washington,CJ,Washington,12,Regular Season,Regular Season,Regular Season,0
0022100080,204058,Gediminas Petraitis,Gediminas,Petraitis,50,Regular Season,Regular Season,Regular Season,0
0022100081,1199,Tom Washington,Tom,Washington,49,Regular Season,Regular Season,Regular Season,0
0022100081,202007,Nick Buchert,Nick,Buchert,3,Regular Season,Regular Season,Regular Season,0
0022100081,1628954,Jenna Schroeder,Jenna,Schroeder,84,Regular Season,Regular Season,Regular Season,0
0022100082,1193,Michael Smith,Michael,Smith,38,Regular Season,Regular Season,Regular Season,0
0022100082,2530,Ed Malloy,Ed,Malloy,14,Regular Season,Regular Season,Regular Season,0
0022100082,1627963,Phenizee Ransom,Phenizee,Ransom,70,Regular Season,Regular Season,Regular Season,0
0022100083,1198,Scott Wall,Scott,Wall,31,Regular Season,Regular Season,Regular Season,0
0022100083,202901,Matt Myers,Matt,Myers,43,Regular Season,Regular Season,Regular Season,0
0022100083,204059,Tyler Ford,Tyler,Ford,39,Regular Season,Regular Season,Regular Season,0
0022100084,1204,Derek Richardson,Derek,Richardson,63,Regular Season,Regular Season,Regular Season,0
0022100084,201638,Brent Barnaky,Brent,Barnaky,36,Regular Season,Regular Season,Regular Season,0
0022100084,201639,Josh Tiven,Josh,Tiven,58,Regular Season,Regular Season,Regular Season,0
0022100085,2005,Matt Boland,Matt,Boland,18,Regular Season,Regular Season,Regular Season,0
0022100085,202058,James Williams,James,Williams,60,Regular Season,Regular Season,Regular Season,0
0022100085,1628172,Evan Scott,Evan,Scott,78,Regular Season,Regular Season,Regular Season,0
0022100086,1662,Bill Kennedy,Bill,Kennedy,55,Regular Season,Regular Season,Regular Season,0
0022100086,202027,Tre Maddox,Tre,Maddox,23,Regular Season,Regular Season,Regular Season,0
0022100086,1627524,Nate Green,Nate,Green,65,Regular Season,Regular Season,Regular Season,0
0022100087,201246,Kevin Cutler,Kevin,Cutler,34,Regular Season,Regular Season,Regular Season,0
0022100087,203593,Justin Van Duyne,Justin,Van Duyne,64,Regular Season,Regular Season,Regular Season,0
0022100087,1626300,Ray Acosta,Ray,Acosta,54,Regular Season,Regular Season,Regular Season,0
0022100088,1151,Sean Corbin,Sean,Corbin,33,Regular Season,Regular Season,Regular Season,0
